registration_no,category,name,email,telephone,address,validity,exchange_name,trade_name
INR000000353,Registrars to an Issue and Share Transfer Agents,MAHESHWARI DATAMATICS PRIVATE LIMITED.,compliance@mdplcorporate.com,9103322482248,"23 R N MUKHERJEE TPAD, KOLKATA, WEST BENGAL, 700001","Sep 01, 2015 - Perpetual",,
INR000000049,Registrars to an Issue and Share Transfer Agents,MAS SERVICES LIMITED,,,"2nd FLOOR , T-34 OKHLA INDUSTRIAL AREA,, PHASE-II, NEW DELHI., NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110020","Aug 01, 2015 - Perpetual",,
INR000004108,Registrars to an Issue and Share Transfer Agents,MCS SHARE TRANSFER AGENT LTD.,mcssta@rediffmail.com,9103340704051,"12 / 1 / 5 MANOHARPUKUR ROAD,, KOLKATA, KOLKATA, WEST BENGAL, 700026","Aug 17, 2012 - Perpetual",,
INR000004157,Registrars to an Issue and Share Transfer Agents,MF UTILITIES INDIA PVT. LTD.,,,"103 - 105, 1st FLOOR, ORION BUSINESS PARK, GHODBUNDER ROAD, KAPURBAWDI, THANE (WEST), THANE, MAHARASHTRA, 400607","Dec 29, 2014 - Perpetual",,
INR000004307,Registrars to an Issue and Share Transfer Agents,MINDEX CAPITAL MARKET PRIVATE LIMITED,NITIN@MINDEX.CO.IN,911140904090,"1306, PADMA TOWER-1, RAJENDRA PLACE, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110008","Sep 10, 2025 - Perpetual",,
INR000004413,Registrars to an Issue and Share Transfer Agents,MUDRA RTA VENTURES PRIVATE LIMITED,ROC.MUDRA@gmail.com,0911135893855,"B-117, 3RD FLOOR, DDA SHED, OKHLA INDUSTRIAL AREA, PHASE 1, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110020","Jun 18, 2024 - Perpetual",,
INR000004058,Registrars to an Issue and Share Transfer Agents,MUFG INTIME INDIA PRIVATE LIMITED,bn.ramakrishnan@in.mpms.mufg.com,9102249186000,"C-101 1 st Floor, Embassy 247 , LBS Marg Vikhroli West, MUMBAI, MAHARASHTRA, 400083","Dec 05, 2024 - Perpetual",,
INR200004114,Registrars to an Issue and Share Transfer Agents,NAGARJUNA FERTILIZERS AND CHEMICALS LIMITED,mvijayabhasker@nfcl.in,914066544500,"NAGARJUNA HILLS, PUNJAGUTTA, HYDERABAD, TELANGANA, 500082","Aug 28, 2012 - Perpetual",,
INR000004422,Registrars to an Issue and Share Transfer Agents,NEXTGEN SHARE REGISTRY PRIVATE LIMITED,nextgen.reachus@gmail.com,910119810212376,"301, PRATAP CHAMBERS,, GURUDWARA ROAD, KAROL BAGH, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110005","Aug 29, 2024 - Perpetual",,
INR000003290,Registrars to an Issue and Share Transfer Agents,NICHE TECHNOLOGIES PRIVATE LIMITED,compliance@nichetechpl.com,913322806616,"3A, AUCKLAND PLACE, 7th FLOOR, ROOM NO. 7A & 7B, KOLKATA, WEST BENGAL, 700017","Aug 16, 2014 - Perpetual",,
INR000004264,Registrars to an Issue and Share Transfer Agents,NIVIS CORPSERVE LLP,INFO@NIVIS.CO.IN,911145201005,"03 SHANKAR VIHAR, 02 FLOOR VIKAS MARG, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110092","Feb 03, 2025 - Perpetual",,
INR000004181,Registrars to an Issue and Share Transfer Agents,NSDL DATABASE MANAGEMENT LIMITED,nehalt@nsdl.co.in,91022049142700,"4th Floor, Tower 3, One International Center, Senapati Bapat Marg, Prabhadevi,, MUMBAI, MAHARASHTRA, 400013","May 17, 2016 - Perpetual",,
INR000004501,Registrars to an Issue and Share Transfer Agents,Nuvama Clearing Services Limited,ncsl.rtacompliance@nuvama.com,9102266203030,"801- 804, WING A, BUILDING NO. 3, INSPIRE BKC, G BLOCK, BANDRA KURLA COMPLEX, BANDRA EAST,, MUMBAI, MAHARASHTRA, 400051","Sep 19, 2025 - Perpetual",,
INR000004459,Registrars to an Issue and Share Transfer Agents,O J FINANCIAL SERVICES LTD,lokesh.gupta@ojfin.com,01101149670052,"901 MERCANTILE HOUSE, 15 KASTURBA GANDHI MARG, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110001","Oct 15, 2024 - Perpetual",,
INR000004389,Registrars to an Issue and Share Transfer Agents,ONEPLUS RTA SERVICES PRIVATE LIMITED,nahush.dalal@gmail.com,0919227422455,"173, Maher Nagar Society,, Adajan Char Rasta, Adajan,, SURAT, GUJARAT, 395009","Mar 15, 2023 - Perpetual",,
INR000004219,Registrars to an Issue and Share Transfer Agents,Orbis Financial Corporation Limited,compliance@orbisfinancial.in,911244546565,"4A Ocus Technopolis, Golf Club Road Sector 54, GURGAON, HARYANA, 122002","Dec 13, 2018 - Perpetual",,
INR000001112,Registrars to an Issue and Share Transfer Agents,PURVA SHAREGISTRY (INDIA)  P LTD (BUSICOMP SOFTWARE CONSULTANTS,,,"9 SHIV SHAKTI INDUSTRIAL ESTATE, J R BORICHA MARG, LOWER PAREL (E), MUMBAI, MAHARASHTRA, 400011","Apr 01, 2016 - Perpetual",,
INR000004477,Registrars to an Issue and Share Transfer Agents,Pushpak Financial Services Pvt Ltd,admin@htdesigns.co.in,03340646436,"H.No.-1, Circuit House Area, Bistupur, JAMSHEDPUR, JHARKHAND, 831001","Jul 31, 2025 - Perpetual",,
INR000003985,Registrars to an Issue and Share Transfer Agents,R & D INFOTECH PVT LTD,,3324631657,"GROUND FLOOR, 22/4 NAKULESHWAR BHATTACHARYA LANE, KOLKATA, WEST BENGAL, 700026","Nov 08, 2014 - Perpetual",,
INR000000429,Registrars to an Issue and Share Transfer Agents,RCMC SHARE REGISTRY PVT LTD.,,,,"Feb 04, 2015 - Perpetual",,
INR000004316,Registrars to an Issue and Share Transfer Agents,REGNUM CAPITAL ADVISORS PRIVATE LIMITED,radhrupawala@gmail.com,0919712276923,"H.NO.-2/1932, 5TH FLOOR, 502, TAXSHILA APARTMENT , NAVSARI BAZAR ROAD , MAJURA GATE, SURAT, GUJARAT, 395002","May 06, 2021 - Perpetual",,
INR000004361,Registrars to an Issue and Share Transfer Agents,Religare Broking Limited,compliance@religare.com,911204866643,"2nd Floor, P-14, 45/90, , P-Block, Connaught Place,, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110001","Apr 05, 2022 - Perpetual",,
INR000004538,Registrars to an Issue and Share Transfer Agents,RUDRA FINSERV PRIVATE LIMITED,siddhartha.bansal@rudra.co,919839856665,"39/007A, TOP FLOOR,15-16, NEW BERRY ROAD, LUCKNOW, UTTAR PRADESH, 226001","Jul 01, 2026 - Perpetual",,
INR000003886,Registrars to an Issue and Share Transfer Agents,S.K. INFOSOLUTIONS PVT.LTD.,,,"34/1A SUDHIR CHATTERJEE STR., KOLKATA, WEST BENGAL, 700006","Oct 01, 2016 - Perpetual",,
INR000004025,Registrars to an Issue and Share Transfer Agents,SABI VINIYOG PRIVATE LTD,mk_saraf@sify.com,0332213 8503,"1 Old Court House Corner, 5th Floor, Suite No.514 & 519, KOLKATA, WEST BENGAL, 700001","Jul 12, 2016 - Perpetual",,
INR000004246,Registrars to an Issue and Share Transfer Agents,SAG INFOTECH PRIVATE LIMITED,info@saginfotech.com,911414072000,"B-9, 2nd & 3rd Floor, Behind WTP South Block, Mahalaxmi Nagar, Malviya Nagar, JAIPUR, RAJASTHAN, 302017","Feb 13, 2019 - Perpetual",,
INR000002441,Registrars to an Issue and Share Transfer Agents,SARTHAK GLOBAL LIMITED (FORMERLY AVANTI FINANCE LTD.),,07312523545,"170/10, FILM COLONY, R. N. T. MARG,, INDORE, MADHYA PRADESH, 452001","May 16, 2016 - Perpetual",,
INR000003639,Registrars to an Issue and Share Transfer Agents,SATELLITE CORPORATE SERVICES PRIVATE LTD,,02228520461/462,"B-302,SONY APARTMENT,OPP ST.JUDE HIGH SCHOOL, JARIMARI,SAKINAKA, MUMBAI, MAHARASHTRA, 400072","Feb 16, 2016 - Perpetual",,
INR000004132,Registrars to an Issue and Share Transfer Agents,Shriram Insight Share Brokers Limited,complianceofficer@Shriraminsight.com,9103323587188,"Shriram House, No.4, Burkit Road, T.Nagar, CHENNAI, TAMIL NADU, 600017","May 27, 2026 - Perpetual",,
INR000004237,Registrars to an Issue and Share Transfer Agents,SKI Capital Services Limited,contact@skicapital.net,9101145046000,"718, Joshi Road, Karol Bagh, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110005","Jan 03, 2019 - Perpetual",,
INR000003241,Registrars to an Issue and Share Transfer Agents,SKYLINE FINANCIAL SERVICES PVT. LTD.,,011 30857557,"123, VINOBAPURI,, LAJPAT NAGAR - II,, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110024","Aug 01, 2014 - Perpetual",,
INR000004282,Registrars to an Issue and Share Transfer Agents,SPS SHARE BROKERS PRIVATE LIMITED,spsshares@sps.group,9102262746274,"121/4, MG ROAD, AGRA BUILDING, 1ST FLOOR , FORT, MUMBAI, MAHARASHTRA, 400001","Jul 24, 2019 - Perpetual",,
INR000000502,Registrars to an Issue and Share Transfer Agents,SYSTEM SUPPORT SERVICES,,850 0835,"209, SHIVAI INDUSTRIAL ESTATE,, 89, ANDHERI-KURLA ROAD,, MUMBAI, MAHARASHTRA, 400072","Dec 01, 2015 - Perpetual",,
INR000004510,Registrars to an Issue and Share Transfer Agents,TRUSTLINK INVESTOR SERVICES PRIVATE LIMITED,khemaninishant@gmail.com,119910118347,"313-A-3 T/F PRATAP BHAWAN, BAHADUR SHAH ZAFAR MARG, Minto Road, Central Delhi, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110002","Dec 16, 2025 - Perpetual",,
INR000001211,Registrars to an Issue and Share Transfer Agents,UTI INFRASTRUCTURE TECHNOLOGY AND SERVICES LTD. (FORMERLY UTI TECHNOLOGY SERVICES LTD.),pushpa.priyani@utiitsl.com,02267931010,"UTI BHAWAN, PLOT NO.3 SECTOR 11., CBD BELAPUR, NAVI MUMBAI, MAHARASHTRA, 400614","Jun 16, 2016 - Perpetual",,
INR000004398,Registrars to an Issue and Share Transfer Agents,Validus Fintech Services Private Limited,compliance@validusfintech.com,919100222569,"1st Floor, Nathani Towers, Plot no. 42, DLF Road, Jayabheri Enclave II, Gachibowli, HYDERABAD, TELANGANA, 500032","Jun 22, 2023 - Perpetual",,
:,Underwriters,,,,,,,
IN/AIF1/25-26/1857,Registered Alternative Investment Funds,,manjunath@ascentcapital.in,,"No1 Ali Askar Road Bangalore  560 052, BANGALORE, KARNATAKA, 560052","Jul 23, 2025 - Perpetual",,
IN/AIF1/17-18/0384,Registered Alternative Investment Funds,021 Capital Trust,sailesh@021.capital,,"No 26, Ozone Residenza,  3 3 Harlur Main Road, HSR Layout, BANGALORE, KARNATAKA, 560102","Nov 06, 2017 - Perpetual",,
IN/AIF2/21-22/1013,Registered Alternative Investment Funds,021 CAPITAL TRUST - II,saileshtulshan@gmail.com,,"No. 26, Ozone Residenza,, 3/3 Harlur Main Road,HSR Layout, Bangalore, BANGALORE, KARNATAKA, 560102","Mar 14, 2022 - Perpetual",,
IN/AIF2/25-26/1983,Registered Alternative Investment Funds,1000X CAPITAL TRUST,Info@1000x.co.in,,"17, Balmukund Mackar Road, 2nd Floor, Room No. 8, KOLKATA, WEST BENGAL, 700007","Dec 10, 2025 - Perpetual",,
IN/AIF3/25-26/1864,Registered Alternative Investment Funds,1008 Bharat Growth Trust,1008bharatgrowth@gmail.com,,"502, The Summit Business Bay, Andheri Kurla Road,, Near Cinemax, Andheri East, Chakala MIDC,, MUMBAI, MAHARASHTRA, 400093","Jul 29, 2025 - Perpetual",,
IN/AIF2/23-24/1342,Registered Alternative Investment Funds,100Unicorns,ankit@9unicorns.in,,"9th Floor, Unit No1, Times Square, Venture Catalysts Private Limited, B Wing, Near Marol Metro Station, Andheri East, Mumbai., MUMBAI, MAHARASHTRA, 400059","Sep 11, 2023 - Perpetual",,
IN/AIF2/23-24/1349,Registered Alternative Investment Funds,108 Capital Venture Fund,nk@108.vc,,"104, Shiv Smriti chambers, 49A, Dr. Annie Besant Road, Worli, Mumbai, 400018, MUMBAI, MAHARASHTRA, 400018","Sep 15, 2023 - Perpetual",,
IN/AIF3/23-24/1391,Registered Alternative Investment Funds,11H Holdings,ronak@11hadvisors.com,,"2B, Samved, Near Sopan Tower, Navrangpura, Ahmedabad, AHMEDABAD, GUJARAT, 380059","Nov 23, 2023 - Perpetual",,
IN/AIF3/24-25/1602,Registered Alternative Investment Funds,129 Wealth Trust,info@paulasset.com,,"4th Floor DGK 407 The Galleria Action Area1, New Town Parganas, KOLKATA, WEST BENGAL, 700156","Sep 26, 2024 - Perpetual",,
IN/AIF3/24-25/1586,Registered Alternative Investment Funds,16 Alpha Alternatives Technologies Fund,office@16alpha.in,,"207M Kailash Building, 26 Kasturba Gandhi Marg, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110001","Sep 02, 2024 - Perpetual",,
IN/AIF2/26-27/2197,Registered Alternative Investment Funds,1950 Ventures AIF,,,"No 329 First Floor 3rd Stage 4th Block, Basaveshwaranagar Bangalore North, MUMBAI, MAHARASHTRA, 560079","May 27, 2026 - Perpetual",,
IN/AIF1/17-18/0344,Registered Alternative Investment Funds,1Funds Trust,,,"601,6th Floor Keshava,  Bandra Kurla Complex, Bandra East, MUMBAI, MAHARASHTRA, 400051","Jun 27, 2017 - Perpetual",,
IN/AIF1/22-23/1078,Registered Alternative Investment Funds,1Funds Trust 2,anil.gudibande@1crowd.co,,"First Floor, Flat No. 101,Siddhivinayak, Union Park, 1st Cross Road, Khar West,, MUMBAI, MAHARASHTRA, 400052","Jun 04, 2022 - Perpetual",,
IN/AIF2/25-26/1810,Registered Alternative Investment Funds,247VC Investment Trust,yagnesh@247vc.in,,"10th Floor, 1006, The Address by Wadhwa Group, LBS Marg, Opp RCity Mall, Ghatkopar West, MUMBAI, MAHARASHTRA, 400086","May 21, 2025 - Perpetual",,
IN/AIF3/19-20/0686,Registered Alternative Investment Funds,2Point2 Capital Trust,bhavit@2point2capital.com,,"D/907 Oberoi Splendor, Opp. Majas Depot JV Link Road Andheri East, MUMBAI, MAHARASHTRA, 400060","Apr 23, 2019 - Perpetual",,
IN/AIF3/25-26/1798,Registered Alternative Investment Funds,31 Degrees North Fund,tejasshah@31degreesnorth.in,,"23 Narayan Chambers, Opp Patang Hotel Nr Nehru Bridge Ellisbridge, AHMEDABAD, GUJARAT, 380009","Apr 24, 2025 - Perpetual",,
IN/AIF1/17-18/0321,Registered Alternative Investment Funds,35North India Growth Fund Trust,,,,"Apr 19, 2017 - Perpetual",,
IN/AIF3/16-17/0286,Registered Alternative Investment Funds,360 ONE ALTERNATIVE OPPORTUNITIES FUND,ashutosh.naik@iiflw.com,,"IIFL Centre, Kamala city, Senapati Bapat Marg, lower parel, MUMBAI, MAHARASHTRA, 400013","Dec 22, 2016 - Perpetual",,
IN/AIF1/21-22/1011,Registered Alternative Investment Funds,360 ONE Asset Angel Fund 1,nandini@mumbaiangels.com,,"360 ONE Centre, Kamala City, Senapati Bapat Marg, Lower Parel, MUMBAI, MAHARASHTRA, 400013","Mar 14, 2022 - Perpetual",,
IN/AIF3/12-13/0016,Registered Alternative Investment Funds,360 ONE Opportunities Fund,Meetali.Mistry@iiflw.com,,"IIFL Centre, Kamala City, Senapati Bapat Marg, Lower Parel, MUMBAI, MAHARASHTRA, 400013","Nov 16, 2012 - Perpetual",,
IN/AIF2/12-13/0015,Registered Alternative Investment Funds,360 ONE Private Equity Fund,ashutosh.naik@iiflw.com,,"360 ONE Centre, Kamala City, Senapati Bapat Marg, lower parel, MUMBAI, MAHARASHTRA, 400013","Nov 16, 2012 - Perpetual",,
IN/AIF2/20-21/0838,Registered Alternative Investment Funds,360 ONE Venture Capital Trust,samay@scaleventurecap.com,,"360 ONE Centre, Kamala Mills Compound, Senapati Bapat Marg,, Lower Parel, Mumbai 400013, MUMBAI, MAHARASHTRA, 400013","Nov 02, 2020 - Perpetual",,
IN/AIF2/20-21/0830,Registered Alternative Investment Funds,360 Rising Straits Capital Fund,gaurav@risingstraits.com,000000001244353830,"Unit No 1117, 11th Floor, Tower B, Vatika Towers, Golf Course Road, Sector 54, GURGAON, HARYANA, 122002","Oct 07, 2020 - Perpetual",,
IN/AIF1/16-17/0301,Registered Alternative Investment Funds,3F Ventures,,,"Unit No 4, Jetha Compound,Opp Nirmal Park, Byculla East, MUMBAI, MAHARASHTRA, 400027","Feb 20, 2017 - Perpetual",,
IN/AIF2/26-27/2177,Registered Alternative Investment Funds,3IPARTNERS FUND,kavya@3ipartners.net,,"EPIP F 26, Plot No. 77, SY No 150,, EPIP Layout, Whitefield, BANGALORE, KARNATAKA, 560066","May 13, 2026 - Perpetual",,
IN/AIF2/25-26/2006,Registered Alternative Investment Funds,3ONE4 CAPITAL BREAKTHROUGH DYNAMICS FUND,DEEPAK@3ONE4CAPITAL.COM,,"OFFICE NO. 01, 5th FLOOR, 1 SOBHA, 50 ST. MARKS ROAD, BANGALORE, KARNATAKA, 560001","Jan 02, 2026 - Perpetual",,
IN/AIF1/22-23/1215,Registered Alternative Investment Funds,3ONE4 CAPITAL INDIA INTERNET DYNAMICS,deepak@3one4capital.com,,"Office No. 01, 5th floor, 1 Sobha, 50, St. Marks Road, BANGALORE, KARNATAKA, 560001","Feb 24, 2023 - Perpetual",,
IN/AIF1/15-16/0204,Registered Alternative Investment Funds,3ONE4CAPITAL TRUST,,,"Office No. 01, 5th Floor, , 1 Sobha, 50 St Marks Road, BANGALORE, KARNATAKA, 560001","Feb 04, 2016 - Perpetual",,
IN/AIF3/22-23/1221,Registered Alternative Investment Funds,3P INDIA EQUITY FUND,sharadm@3pim.in,,"201 East wing, 2nd Floor, Nirlon House, Dr. Annie Besant Road, Worli, MUMBAI, MAHARASHTRA, 400030","Mar 02, 2023 - Perpetual",,
IN/AIF2/24-25/1652,Registered Alternative Investment Funds,5 RIVERS CAPITAL TRUST I,droy@5riverscap.com,,"C 1103 Floor 11 Plot 180 188 C Ashok Garden Tower 1 Tokersey Jivraj Road Swan Mill Compound Sewri, MUMBAI, MAHARASHTRA, 400015","Dec 04, 2024 - Perpetual",,
IN/AIF1/23-24/1390,Registered Alternative Investment Funds,77 EAST VENTURE FUND,dhiraj@77eastvp.com,,"Flat No.4C, Coventry Apartments, No. 28, Convent Road, Richmond Town, BANGALORE, KARNATAKA, 560025","Nov 23, 2023 - Perpetual",,
IN/AIF1/24-25/1727,Registered Alternative Investment Funds,888vc Accelerator Fund,rohit@888vc.co,,"C823 Parimala Sunridge Apartment, Siddhapura Whitefield, BANGALORE, KARNATAKA, 560066","Feb 17, 2025 - Perpetual",,
IN/AIF2/23-24/1480,Registered Alternative Investment Funds,8X VENTURES FUND,8xventures.nda@nishithdesai.com,,"8X Ventures Fund at H No. 1, First Floor, KH No. 619 7, Opp. Tivoli Garden, Chattarpur, New Delhi 11, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110074","Mar 27, 2024 - Perpetual",,
IN/AIF1/18-19/0663,Registered Alternative Investment Funds,9Unicorns Accelerator Fund,info@vcatsaccelerator.com,,"203 204, Mittal Commercia,, Off Andheri Kurla Road, Andheri East, MUMBAI, MAHARASHTRA, 400059","Mar 29, 2019 - Perpetual",,
IN/AIF2/23-24/1311,Registered Alternative Investment Funds,A K ALTERNATIVE INVESTMENTS TRUST II,vikas@akgroup.co.in,9102267546528,"604, 6th Floor, Windsor, Off CST Road, Kalina, Santacruz, East, MUMBAI, MAHARASHTRA, 400098","Jul 19, 2023 - Perpetual",,
IN/AIF2/25-26/2069,Registered Alternative Investment Funds,A88 TRUST,compliance.aif@infoedge.com,,"Unit No. GF 12A, 94, Meghdoot,, Nehru Place, New Delhi 110019, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110019","Feb 27, 2026 - Perpetual",,
IN/AIF2/19-20/0712,Registered Alternative Investment Funds,A91 EMERGING FUND I LLP,nari@a91partners.com,,"1001 & 1002, Lodha Supremus, Dr. E. Moses Road, Worli Naka, MUMBAI, MAHARASHTRA, 400018","Jul 03, 2019 - Perpetual",,
IN/AIF2/21-22/0940,Registered Alternative Investment Funds,A91 Emerging Fund II LLP,ruchi@a91partners.com,,"Number 1001 and 1002, Lodha Supremus, Dr. E. Moses Road, Worli Naka, MUMBAI, MAHARASHTRA, 400018","Oct 20, 2021 - Perpetual",,
IN/AIF2/24-25/1707,Registered Alternative Investment Funds,A91 Emerging Fund III LLP,ruchi@a91partners.com,,"702 Orchid Tower A 241242 Bellasis Road Mumbai Central Mumbai 400008, MUMBAI, MAHARASHTRA, 400008","Feb 05, 2025 - Perpetual",,
IN/AIF2/19-20/0697,Registered Alternative Investment Funds,A91 Partners Trust,nari@a91partners.com,,"F-801, Jay Balaji CHS Ltd, Plot No. 26, Sector-6, Nerul, Navi Mumbai Thane, THANE, MAHARASHTRA, 400706","May 22, 2019 - Perpetual",,
IN/AIF2/21-22/0950,Registered Alternative Investment Funds,A91 Partners Trust II,ruchi@a91partners.com,,"1001 & 1002, Lodha Supremus, , Dr. E. Moses Road, Worli Naka, Mumbai 400018, MUMBAI, MAHARASHTRA, 400018","Nov 08, 2021 - Perpetual",,
IN/AIF2/24-25/1755,Registered Alternative Investment Funds,A91 Partners Trust III,ruchi@a91partners.com,9109833128216,"1001 and 1002, Lodha Supremus, Dr.E Moses Road, Worli Naka, Mumbai, Maharashtra,India 400018, MUMBAI, MAHARASHTRA, 400018","Mar 10, 2025 - Perpetual",,
IN/AIF2/25-26/2079,Registered Alternative Investment Funds,a99 Investment AIF Trust,compliance@a99.vc,,"No. 74, 1st Floor, Fagun Mansion, Ethiraj Salai, Egmore, Chennai 600008, CHENNAI, TAMIL NADU, 600008","Mar 06, 2026 - Perpetual",,
IN/AIF3/22-23/1226,Registered Alternative Investment Funds,AAA India Equity Fund,mayurthakur@alfaccurate.com,,"503, B wing, Naman Midtown, Senapati Bapat Road, MUMBAI, MAHARASHTRA, 400013","Mar 09, 2023 - Perpetual",,
IN/AIF2/25-26/2022,Registered Alternative Investment Funds,AAA Zenith Fund,compliance@alfaccurate.com,,"503 B Wing Naman Midtown , Senapati Bapat Road Mumbai 400013 Maharashtra India, MUMBAI, MAHARASHTRA, 400013","Jan 20, 2026 - Perpetual",,
IN/AIF2/23-24/1446,Registered Alternative Investment Funds,Aabhuti Investment Fund Trust,shankar.s@refex.co.in,,"Second Floor, Refex Towers, Sterling Road Signal 313,, Valluvar Kottam High Road, Nungambakkam, CHENNAI, TAMIL NADU, 600034","Feb 07, 2024 - Perpetual",,
IN/AIF2/25-26/1879,Registered Alternative Investment Funds,Aagama Ventures Trust,shubhanga@aagama.vc,,"B 104 Powai Jaltarang CHS Powai Police Station, Rambaug Powai Mumbai Suburban, MUMBAI, MAHARASHTRA, 400076","Aug 18, 2025 - Perpetual",,
IN/AIF3/25-26/2116,Registered Alternative Investment Funds,Aamara Holdings Trust,sebi.compliance@aamaraamc.com,,"701, Floor-7th, Casa Granade Tower,, Senapati Bapat Marg, Lower Parel, Delisle Road,, MUMBAI, MAHARASHTRA, 400013","Mar 30, 2026 - Perpetual",,
IN/AIF2/23-24/1397,Registered Alternative Investment Funds,Aarambh Fund 1,suresh291974@gmail.com,,"No 96 5th Main Near Channaman Kere, Achukattu Telephone Exchange Banashankari 3rd stage, BANGALORE, KARNATAKA, 560085","Dec 01, 2023 - Perpetual",,
IN/AIF2/25-26/1875,Registered Alternative Investment Funds,Aaroh Capital Trust,amber@aarohcapital.in,,"No. 367, 3rd Floor, 100 Feet Road, HAL 2nd Stage, Indiranagar, BANGALORE, KARNATAKA, 5600038","Aug 12, 2025 - Perpetual",,
IN/AIF3/24-25/1610,Registered Alternative Investment Funds,Aarth.AIF,aarthfundmanager@gmail.com,,"The Ruby 2nd Floor SW 29 Senapati Bapat Marg, Dadar west Mumbai, MUMBAI, MAHARASHTRA, 400028","Oct 07, 2024 - Perpetual",,
IN/AIF1/15-16/0154,Registered Alternative Investment Funds,AARUHA TECHNOLOGY FUND,,,,"Jun 01, 2015 - Perpetual",,
IN/AIF3/25-26/2050,Registered Alternative Investment Funds,Aavihi India Trust,meghna.agrawal@aavihi.com,,"261 A Bommasandra Industrial Area, Hosur Road, BANGALORE, KARNATAKA, 560099","Feb 16, 2026 - Perpetual",,
IN/AIF2/16-17/0269,Registered Alternative Investment Funds,AAVISHKAAR BHARAT FUND,,,"Unit no 202, 203, 204, 2nd floor,Naman Centre, G block, Bandra Kurla Complex, Bandra East,, MUMBAI, MAHARASHTRA, 400051","Oct 18, 2016 - Perpetual",,
IN/AIF2/21-22/0877,Registered Alternative Investment Funds,Aavishkaar India Fund VI,amol_ganu@aavishkaar.in,,"Unit no 202, 203, 204, 2nd floor,Naman Centre, G block, Bandra Kurla Complex, Bandra East,, MUMBAI, MAHARASHTRA, 400051","Apr 27, 2021 - Perpetual",,
IN/AIF2/26-27/2183,Registered Alternative Investment Funds,Aavishkaar Nxtgen Trust,fund.compliance@aavishkaar.in,9102261248900,"Unit no 202 203 204 2nd floor Naman Centre, G block Bandra Kurla Complex Bandra East, MUMBAI, MAHARASHTRA, 400051","May 19, 2026 - Perpetual",,
IN/AIF3/18-19/0550,Registered Alternative Investment Funds,Abakkus Growth Fund,biharilal.deora@abakkusinvest.com,,"6th Floor,Param House,Shanti Nagar,Santacruz Chembur Link Road, Santacruz East, MUMBAI, MAHARASHTRA, 400055","Jun 05, 2018 - Perpetual",,
IN/AIF3/23-24/1326,Registered Alternative Investment Funds,ABAKKUS INDIA EQUITY TRUST,complianceteam@abakkusinvest.com,,"Abakkus Corporate Center, Sixth Floor, Param House, Shanti Nagar, Santacruz Chembur Link Road, Santacruz, MUMBAI, MAHARASHTRA, 400055","Aug 09, 2023 - Perpetual",,
IN/AIF2/21-22/0896,Registered Alternative Investment Funds,ABANS INVESTMENT TRUST,abans.nda@nishithdesai.com,,"36, 37, 38A, 3rd Floor, , 227 Nariman Bhavan, Mumbai 400 021, Maharashtra, India, MUMBAI, MAHARASHTRA, 400021","Jun 25, 2021 - Perpetual",,
IN/AIF1/24-25/1514,Registered Alternative Investment Funds,Abhi Incubation Angel Fund,abhimanyu@pushya.net,,"23th floor Godrej Platinum, Tower B3 Vikhroli, MUMBAI, MAHARASHTRA, 400079","May 07, 2024 - Perpetual",,
IN/AIF2/25-26/1839,Registered Alternative Investment Funds,Access Fund Trust,nilesh@accesspe.in,,"10th Floor 1004, B Square, Near Neptune House, Iscon Ambali BRTS Road, Ambli, Ahmedabad, Daskroi, AHMEDABAD, GUJARAT, 380058","Jul 04, 2025 - Perpetual",,
IN/AIF1/25-26/1947,Registered Alternative Investment Funds,ACCESS INDIA FUND,nilesh@accesspe.in,,"801, Abhijeet, Mithakhali Six Rasta, Ahmedabad, AHMEDABAD, GUJARAT, 380009","Nov 03, 2025 - Perpetual",,
IN/AIF3/25-26/1898,Registered Alternative Investment Funds,Accor Growth Fund,capithoncorporate@gmail.com,,"Office No - 201, 2nd Floor, Harmony Icon, Zydus Hospital Rd, nr. Baghban Party Plot Road, AHMEDABAD, GUJARAT, 380059","Sep 11, 2025 - Perpetual",,
IN/AIF3/17-18/0521,Registered Alternative Investment Funds,Accuracap Prime Opportunities Fund,rnagpal@accuracap.com,,"Office no. 919, 9th Floor,, Wave Silver Tower, Sector 18,, NOIDA, UTTAR PRADESH, 201301","Feb 27, 2018 - Perpetual",,
IN/AIF2/25-26/1981,Registered Alternative Investment Funds,Achievers Investment Trust,anjanatolani@gmail.com,,"Flt B 601, Charmee Enclave, Plot 342, Service Road, Vileeparle East, MUMBAI, MAHARASHTRA, 400057","Dec 09, 2025 - Perpetual",,
